epoch,accuracy,loss,val_accuracy,val_loss
0,0.36285635828971863,1.3296040296554565,0.4755043089389801,1.2678136825561523
1,0.641572117805481,0.9879624247550964,0.6599423885345459,0.9191654324531555
2,0.792969822883606,0.5815333724021912,0.6945244669914246,0.8178583383560181
3,0.8447273969650269,0.42253342270851135,0.7146974205970764,0.7720270752906799
4,0.8724052309989929,0.34198132157325745,0.7146974205970764,0.8314988017082214
5,0.9009133577346802,0.27978450059890747,0.7118155360221863,0.8713095784187317
6,0.9194574952125549,0.2387154996395111,0.680115282535553,0.9426975846290588
7,0.9346803426742554,0.1950571984052658,0.680115282535553,1.0277981758117676
8,0.9451978802680969,0.17061074078083038,0.6829971075057983,1.053267478942871
9,0.9543315768241882,0.1468484252691269,0.6858789920806885,1.1074851751327515
10,0.9620813727378845,0.1272570937871933,0.6772334575653076,1.1549938917160034
11,0.9676169157028198,0.11043465882539749,0.6916426420211792,1.20106041431427
12,0.9687240719795227,0.10863093286752701,0.6772334575653076,1.2611135244369507
13,0.9698311686515808,0.09780522435903549,0.6772334575653076,1.2669597864151
14,0.9725989699363708,0.08769720047712326,0.6829971075057983,1.3181402683258057
15,0.9731525182723999,0.08576969802379608,0.6743515729904175,1.3757318258285522
16,0.973429262638092,0.08170490711927414,0.6772334575653076,1.3857704401016235
17,0.9748131632804871,0.07692714780569077,0.6887608170509338,1.465001106262207
18,0.976473867893219,0.07443856447935104,0.6743515729904175,1.482539176940918
19,0.976473867893219,0.06940440088510513,0.680115282535553,1.5077425241470337
20,0.9759202599525452,0.07250301539897919,0.6772334575653076,1.572847843170166
21,0.975089967250824,0.06692375242710114,0.6829971075057983,1.5262699127197266
22,0.9786880612373352,0.06374931335449219,0.6685879230499268,1.557210922241211
23,0.9792416095733643,0.06259012967348099,0.6714697480201721,1.5808757543563843
24,0.9792416095733643,0.05965865030884743,0.6714697480201721,1.6116085052490234
